	sequences per sample	iteration	515rcbc12	515rcbc23	515rcbc30	515rcbc29	515rcbc35	515rcbc9	515rcbc18	515rcbc15	515rcbc26	515rcbc36	515rcbc10	515rcbc25	515rcbc8	515rcbc16	515rcbc31	515rcbc22	515rcbc17	515rcbc24	515rcbc21	515rcbc19	515rcbc14	515rcbc32	515rcbc27	515rcbc11	515rcbc34	515rcbc37	515rcbc33	515rcbc28	515rcbc13	515rcbc20
alpha_rarefaction_10_0.txt	10	0	3.67621	3.32456	3.0585	4.08888	2.77918	3.82127	3.78548	2.54518	3.72645	3.34847	3.25756	2.20393	3.713	3.41884	3.06222	4.22698	2.62707	3.94851	3.97891	2.7258	3.20449	3.37724	3.24215	2.77748	3.47313	3.00542	2.64626	3.42189	2.64534	3.82404
alpha_rarefaction_10_1.txt	10	1	3.52122	3.23285	2.69919	3.21535	2.41247	4.10481	3.48888	3.48071	3.49678	2.60427	2.86399	3.15452	2.63063	2.35033	3.41313	3.35275	2.87756	2.96273	4.08992	3.76054	3.78483	2.861	3.65035	3.22188	3.98053	2.66811	2.4832	3.31215	2.19515	3.42192
alpha_rarefaction_10_2.txt	10	2	3.13331	3.45843	4.46631	2.63057	3.33838	3.10375	2.69082	2.69432	3.57064	2.98514	2.34379	2.41494	3.4895	3.13018	2.89032	3.67744	3.19914	3.52091	3.35912	3.10825	2.82911	3.11097	2.86369	3.90433	2.5406	3.99343	2.4754	3.89131	3.43851	3.14856
alpha_rarefaction_10_3.txt	10	3	3.32366	2.51529	3.99606	3.18625	3.84945	3.64778	4.07146	2.84821	2.88878	2.69787	3.48293	3.07168	3.5165	3.47194	3.61017	3.5267	3.74784	3.40572	3.27698	2.88038	3.62819	3.64614	2.51254	3.09762	2.88195	2.93864	3.04265	4.09838	3.14717	3.42118
alpha_rarefaction_10_4.txt	10	4	4.15654	3.79011	3.18266	2.56224	3.05705	4.13105	2.66452	3.99323	3.86591	3.74466	3.60527	2.99407	2.74909	2.90939	3.49759	2.49131	2.84519	3.48584	3.48843	2.64316	3.52025	2.80195	3.01724	3.40861	3.60957	2.46567	2.56359	3.08053	2.93914	4.1148
alpha_rarefaction_10_5.txt	10	5	3.40347	4.08394	3.66166	3.2486	2.44017	3.11712	2.63969	3.4125	2.87249	3.09905	3.26401	2.43682	2.90125	3.02326	2.79348	4.35132	2.72856	3.94188	2.55276	2.82352	4.00004	2.94083	3.26616	3.24896	2.71464	2.56367	3.03278	3.09093	3.7306	3.17751
alpha_rarefaction_10_6.txt	10	6	4.19394	3.25558	3.83984	3.88052	3.00828	3.74306	3.01978	4.25987	3.26613	3.64242	2.56753	3.01919	3.46107	3.34386	3.68193	3.44278	3.30201	2.90338	4.33774	2.41173	2.07638	2.84007	3.08531	3.25537	2.56317	2.50426	3.28385	3.30474	3.89268	3.9033
alpha_rarefaction_10_7.txt	10	7	3.14834	3.15822	3.09921	3.27892	2.44619	2.76354	3.41776	3.23038	3.20244	3.21784	3.61352	3.16137	3.55993	3.51904	2.37591	2.61754	3.39305	3.77568	3.42439	3.43811	3.72587	2.43617	3.2197	3.62023	3.23013	3.90754	2.33528	2.84339	2.40641	3.26962
alpha_rarefaction_10_8.txt	10	8	2.87532	4.43757	4.27609	2.97984	3.05224	3.80004	3.54011	2.37479	2.85442	3.99213	3.96767	3.1442	2.80708	3.19	3.26051	3.67487	3.59969	4.21881	2.87657	3.28114	3.60934	3.19042	4.067	2.79621	3.19448	3.36347	3.00328	3.05222	2.3328	4.13172
alpha_rarefaction_10_9.txt	10	9	3.05097	2.91704	3.87125	3.93424	3.07557	4.14061	2.7461	2.6883	3.16837	3.32243	3.04108	2.48046	2.99344	3.42197	3.3164	3.75574	3.31206	3.70913	3.41685	1.95449	4.29989	3.53246	3.56201	2.37284	3.41686	4.1369	3.07975	3.50666	4.0117	3.57387
alpha_rarefaction_73_0.txt	73	0	12.05641	13.2934	13.46394	13.48758	10.68787	14.03939	12.83954	12.91387	11.97316	13.16132	12.85118	11.76255	11.28664	11.9528	12.86291	13.99759	12.39406	11.72914	12.55075	13.6254	12.99002	11.30971	12.79436	13.12196	11.74658	12.71779	12.06043	13.23021	13.45362	11.97486
alpha_rarefaction_73_1.txt	73	1	12.40161	13.02156	13.44055	12.29981	12.15354	13.42414	11.81946	13.22593	11.58318	9.71907	11.44145	11.71577	11.81165	12.70196	11.93487	13.34524	15.33202	12.24039	12.46936	14.24556	13.77915	11.72161	13.46314	12.24625	11.34621	14.02643	12.35705	11.20571	13.1136	13.83899
alpha_rarefaction_73_2.txt	73	2	11.7946	15.1446	13.24493	11.56338	10.83375	13.81046	13.41383	12.83768	12.37732	11.45738	12.40214	11.31988	12.4634	12.17533	12.55352	12.73694	11.68097	13.42974	13.21568	13.66407	13.45757	10.83151	12.38629	11.49272	12.89641	13.9941	11.20296	13.35263	11.34057	12.04024
alpha_rarefaction_73_3.txt	73	3	14.80247	14.33123	12.93243	15.10303	11.5871	13.24436	13.62874	12.19537	12.73316	10.04344	13.4239	12.1933	11.9346	13.2323	13.42741	13.3916	12.24621	12.39403	12.37014	14.07671	12.44901	12.42498	13.20018	12.41387	11.3238	14.21659	11.02422	13.8376	14.0247	13.51583
alpha_rarefaction_73_4.txt	73	4	13.83753	12.98736	12.63987	12.55431	12.63354	10.70992	13.93441	11.5635	12.55268	12.26011	12.31438	13.21126	12.14692	13.59957	12.81407	12.24185	13.85252	12.49011	13.61794	12.23255	11.66495	12.72901	12.89578	12.50887	12.09767	12.74716	11.70398	12.136	13.16941	13.7052
alpha_rarefaction_73_5.txt	73	5	11.06197	12.97252	12.8693	11.10158	12.63643	13.77878	14.63373	13.51816	12.7286	10.33272	13.24901	13.42706	12.27712	13.86733	12.09468	13.57496	12.11724	12.91679	11.63984	13.45193	13.61786	12.77132	13.19938	12.41234	14.1877	13.96541	13.14296	12.83815	12.71784	13.48308
alpha_rarefaction_73_6.txt	73	6	11.86675	13.69884	11.75614	12.32634	11.17697	12.42752	12.2359	13.03246	12.22683	11.13731	14.02375	10.3539	12.74449	12.42847	12.03201	10.88033	12.02114	12.42583	14.26115	15.28462	12.91556	10.30534	13.30249	12.81687	12.07723	13.25249	12.31095	12.31645	13.45736	13.76448
