	sequences per sample	iteration	515rcbc12	515rcbc23	515rcbc30	515rcbc29	515rcbc35	515rcbc9	515rcbc18	515rcbc15	515rcbc26	515rcbc36	515rcbc10	515rcbc25	515rcbc8	515rcbc16	515rcbc31	515rcbc22	515rcbc17	515rcbc24	515rcbc21	515rcbc19	515rcbc14	515rcbc32	515rcbc27	515rcbc11	515rcbc34	515rcbc37	515rcbc33	515rcbc28	515rcbc13	515rcbc20
alpha_rarefaction_10_0.txt	10	0	55.0	55.0	55.0	55.0	23.0	55.0	55.0	55.0	55.0	23.0	55.0	23.0	55.0	55.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0
alpha_rarefaction_10_1.txt	10	1	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0	55.0	55.0	55.0	55.0	55.0	23.0	55.0	55.0	55.0
alpha_rarefaction_10_2.txt	10	2	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0	23.0	55.0	23.0	55.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0
alpha_rarefaction_10_3.txt	10	3	55.0	23.0	55.0	55.0	55.0	55.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0	55.0	55.0	23.0	55.0
alpha_rarefaction_10_4.txt	10	4	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0	55.0	55.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	13.0	55.0	55.0	55.0	23.0	55.0	55.0	55.0
alpha_rarefaction_10_5.txt	10	5	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0	23.0	55.0	55.0	23.0	55.0	55.0	55.0	55.0	55.0	23.0	55.0	55.0	29.0	55.0	55.0	55.0	23.0	55.0	55.0	55.0	55.0
alpha_rarefaction_10_6.txt	10	6	55.0	55.0	23.0	55.0	55.0	23.0	55.0	55.0	55.0	55.0	23.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	29.0	55.0	23.0	23.0	13.0	55.0	55.0	55.0	55.0	55.0
alpha_rarefaction_10_7.txt	10	7	55.0	23.0	55.0	23.0	55.0	55.0	55.0	55.0	23.0	55.0	55.0	23.0	55.0	55.0	23.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	13.0	55.0	13.0	55.0
alpha_rarefaction_10_8.txt	10	8	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0	55.0	55.0	23.0	55.0	55.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0	55.0	23.0	55.0	55.0	13.0	55.0	55.0	55.0
alpha_rarefaction_10_9.txt	10	9	23.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0	13.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0	55.0	55.0
alpha_rarefaction_73_0.txt	73	0	242.333333333	622.75	242.333333333	301.142857143	206.0	419.0	292.0	622.75	222.0	194.6	1108.0	632.333333333	359.0	1041.5	283.0	432.25	234.25	226.75	394.6	445.2	234.0	206.0	622.75	572.0	250.428571429	853.0	445.0	319.666666667	330.0	226.75
alpha_rarefaction_73_1.txt	73	1	279.875	432.0	309.5	242.333333333	222.0	301.142857143	242.333333333	279.875	330.0	189.142857143	830.0	274.142857143	184.333333333	614.0	461.0	445.2	853.0	594.0	256.5	328.428571429	361.0	654.0	350.166666667	406.2	301.142857143	445.2	574.333333333	186.375	485.0	361.0
alpha_rarefaction_73_2.txt	73	2	256.5	319.666666667	275.142857143	301.142857143	250.428571429	328.428571429	279.875	256.5	263.166666667	156.0	234.25	288.666666667	476.25	1772.0	227.5	330.0	196.111111111	301.142857143	507.5	1209.0	330.0	178.111111111	212.5	402.5	250.428571429	361.0	476.25	382.2	476.25	188.272727273
alpha_rarefaction_73_3.txt	73	3	242.333333333	328.428571429	485.0	393.5	226.0	319.666666667	445.2	359.0	314.0	244.0	256.5	382.2	256.5	292.0	406.2	491.75	275.142857143	186.375	188.5	1174.5	403.5	335.6	330.0	572.0	1546.0	393.5	224.0	432.0	361.0	572.0
alpha_rarefaction_73_4.txt	73	4	485.0	572.0	222.0	249.428571429	275.142857143	185.375	572.0	300.5	359.0	300.5	622.75	289.666666667	314.0	393.6	339.5	407.2	784.0	447.0	393.5	361.0	419.0	490.75	279.875	394.6	330.0	393.5	280.0	519.333333333	361.0	330.0
alpha_rarefaction_73_5.txt	73	5	275.142857143	361.0	188.272727273	199.0	330.0	242.333333333	485.0	279.875	445.2	224.2	275.142857143	522.5	506.5	784.0	347.2	655.0	432.25	256.5	361.0	350.166666667	507.5	358.0	445.2	226.75	359.0	485.0	460.0	300.5	222.0	301.142857143
alpha_rarefaction_73_6.txt	73	6	301.142857143	328.428571429	407.2	215.111111111	359.0	519.333333333	361.0	555.25	447.0	191.125	432.0	499.0	462.0	319.666666667	242.142857143	447.0	301.142857143	271.5	523.5	2416.0	506.5	177.111111111	266.428571429	802.5	242.333333333	212.5	335.6	166.909090909	445.2	445.2
alpha_rarefaction_73_7.txt	73	7	309.5	242.333333333	290.666666667	256.5	319.666666667	432.0	393.5	394.6	433.25	177.111111111	212.5	358.0	432.25	261.0	265.428571429	445.2	718.0	347.2	301.142857143	350.166666667	654.0	358.0	555.25	419.0	301.142857143	319.666666667	154.0	275.142857143	418.75	328.428571429
alpha_rarefaction_73_8.txt	73	8	248.625	240.875	212.5	622.75	461.0	522.5	257.857142857	283.0	256.5	254.0	382.2	233.25	265.428571429	369.0	696.333333333	309.5	275.142857143	178.111111111	394.6	718.0	350.0	234.0	328.428571429	381.2	301.142857143	432.0	280.0	275.142857143	301.142857143	523.5
alpha_rarefaction_73_9.txt	73	9	485.0	614.0	256.5	301.142857143	193.125	188.272727273	279.875	301.142857143	188.5	144.111111111	301.142857143	248.428571429	572.0	417.75	177.75	183.333333333	301.142857143	445.2	572.0	445.2	555.0	280.0	622.75	407.2	491.75	212.5	522.5	172.0	476.25	275.142857143
alpha_rarefaction_136_0.txt	136	0	327.058823529	530.0	471.153846154	855.75	321.875	517.25	454.5	461.5	399.461538462	303.272727273	582.5	615.666666667	771.625	432.333333333	435.272727273	774.142857143	449.25	462.769230769	410.666666667	641.3	547.0	308.055555556	812.666666667	415.75	736.333333333	526.071428571	722.666666667	322.875	461.4	379.375
